time,phase,pos_x,pos_y,yaw_deg,speed_kph,vx_body,vy_body,yaw_rate_dps,throttle,brake,steer_deg,gear,rpm,fz_fl,fz_fr,fz_rl,fz_rr,sr_fl,sr_fr,sr_rl,sr_rr,sa_fl_deg,sa_fr_deg,sa_rl_deg,sa_rr_deg,fx_fl,fx_fr,fx_rl,fx_rr,fy_fl,fy_fr,fy_rl,fy_rr,lat_accel_g,susp_defl_fl_mm,susp_defl_fr_mm,susp_defl_rl_mm,susp_defl_rr_mm,susp_vel_fl,susp_vel_fr,susp_vel_rl,susp_vel_rr,roll_deg,pitch_deg,fz_total,understeer_deg,fc_util_fl,fc_util_fr,fc_util_rl,fc_util_rr,radius_m,yaw_rate_ref_dps
0.0000,accel,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1000.0000,3776.8500,3776.8500,3090.1500,3090.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13734.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1000,accel,0.0000,0.0000,0.0000,0.0189,0.0039,0.0000,0.0000,0.0667,0.0000,0.0000,1,1000.0000,3719.9859,3719.9859,3147.1123,3147.1123,0.0008,0.0008,0.0027,0.0027,0.0000,0.0000,0.0000,0.0000,-1.0416,-1.0416,112.8544,112.8544,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1181,-0.1181,0.1924,0.1924,-4.1916,-4.1916,5.1645,5.1645,0.0000,-0.0068,13734.1964,0.0000,0.0003,0.0003,0.0359,0.0359,0.0000,0.0000
0.2000,accel,0.0018,0.0000,0.0000,0.1124,0.0284,0.0000,0.0000,0.1333,0.0000,0.0000,1,1000.0000,3697.7662,3697.7662,3169.3250,3169.3250,0.0007,0.0007,0.0048,0.0048,0.0000,0.0000,0.0000,0.0000,-2.8329,-2.8329,243.5492,243.5492,0.0000,0.0000,0.0000,0.0000,0.0000,-0.6790,-0.6790,0.8527,0.8527,-6.5338,-6.5338,7.4472,7.4472,0.0000,-0.0338,13734.1823,0.0000,0.0008,0.0008,0.0768,0.0768,0.0000,0.0000
0.3000,accel,0.0072,0.0000,0.0000,0.2736,0.0708,0.0000,0.0000,0.2000,0.0000,0.0000,1,1000.0000,3681.7075,3681.7075,3185.2874,3185.2874,0.0007,0.0007,0.0081,0.0081,0.0000,0.0000,0.0000,0.0000,-4.6947,-4.6947,440.7257,440.7257,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3894,-1.3894,1.6337,1.6337,-6.0479,-6.0479,6.0221,6.0221,0.0000,-0.0666,13733.9897,0.0000,0.0013,0.0013,0.1384,0.1384,0.0000,0.0000
0.4000,accel,0.0179,0.0000,0.0000,0.5293,0.1314,0.0000,0.0000,0.2667,0.0000,0.0000,1,1000.0000,3289.3321,3289.3321,3579.8694,3579.8694,-0.0027,-0.0027,0.0251,0.0251,0.0000,0.0000,0.0000,0.0000,-214.9057,-214.9057,1531.7813,1531.7813,0.0000,0.0000,0.0000,0.0000,0.0000,-0.9928,-0.9928,3.7285,3.7285,-120.9880,-120.9880,142.9065,142.9065,0.0000,-0.1040,13738.4029,0.0000,0.0653,0.0653,0.4279,0.4279,0.0000,0.0000
0.5000,accel,0.0353,0.0000,0.0000,0.6918,0.2327,0.0000,0.0000,0.3333,0.0000,0.0000,1,1000.0000,3185.3519,3185.3519,3682.8777,3682.8777,0.0054,0.0054,-0.2233,-0.2233,0.0000,0.0000,0.0000,0.0000,278.7973,278.7973,-3682.8777,-3682.8777,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8347,-1.8347,6.4160,6.4160,-144.6832,-144.6832,157.2349,157.2349,0.0000,-0.1818,13736.4590,0.0000,0.0875,0.0875,1.0000,1.0000,0.0000,0.0000
0.6000,accel,0.0628,0.0000,0.0000,1.2334,0.2970,0.0000,0.0000,0.4000,0.0000,0.0000,1,1000.0000,3854.2209,3854.2209,3011.0218,3011.0218,0.1442,0.1442,0.0017,0.0017,0.0000,0.0000,0.0000,0.0000,3777.5200,3777.5200,53.6555,53.6555,0.0000,0.0000,0.0000,0.0000,0.0000,-1.2752,-1.2752,5.9329,5.9329,59.3966,59.3966,-76.1976,-76.1976,0.0000,-0.1588,13730.4854,0.0000,0.9801,0.9801,0.0178,0.0178,0.0000,0.0000
0.7000,accel,0.1011,0.0000,0.0000,1.6891,0.3896,0.0000,0.0000,0.4667,0.0000,0.0000,1,1000.0000,4558.7452,4558.7452,2312.8338,2312.8338,0.1470,0.1470,0.3964,0.3964,0.0000,0.0000,0.0000,0.0000,4472.0362,4472.0362,2213.4407,2213.4407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0472,0.0472,6.8555,6.8555,327.9825,327.9825,-282.2693,-282.2693,0.0000,-0.1500,13743.1580,0.0000,0.9810,0.9810,0.9570,0.9570,0.0000,0.0000
0.8000,accel,0.1508,0.0000,0.0000,1.8363,0.5916,0.0000,0.0000,0.5333,0.0000,0.0000,1,1000.0000,2614.0908,2614.0908,4257.0389,4257.0389,-0.1479,-0.1479,-0.1181,-0.1181,0.0000,0.0000,0.0000,0.0000,-2614.0908,-2614.0908,-4234.0359,-4234.0359,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1672,-3.1672,11.1273,11.1273,-298.3828,-298.3828,339.7864,339.7864,0.0000,-0.3150,13742.2594,0.0000,1.0000,1.0000,0.9946,0.9946,0.0000,0.0000
0.9000,accel,0.2152,0.0000,0.0000,2.6450,0.7169,0.0000,0.0000,0.6000,0.0000,0.0000,1,1000.0000,2589.9848,2589.9848,4281.4738,4281.4738,-0.3546,-0.3546,0.4538,0.4538,0.0000,0.0000,0.0000,0.0000,-2571.2102,-2571.2102,4066.4274,4066.4274,0.0000,0.0000,0.0000,0.0000,0.0000,-3.3173,-3.3173,11.2007,11.2007,-304.1976,-304.1976,348.8267,348.8267,0.0000,-0.3199,13742.9172,0.0000,0.9928,0.9928,0.9498,0.9498,0.0000,0.0000
