time,phase,pos_x,pos_y,yaw_deg,speed_kph,vx_body,vy_body,yaw_rate_dps,throttle,brake,steer_deg,gear,rpm,fz_fl,fz_fr,fz_rl,fz_rr,sr_fl,sr_fr,sr_rl,sr_rr,sa_fl_deg,sa_fr_deg,sa_rl_deg,sa_rr_deg,fx_fl,fx_fr,fx_rl,fx_rr,fy_fl,fy_fr,fy_rl,fy_rr,lat_accel_g,susp_defl_fl_mm,susp_defl_fr_mm,susp_defl_rl_mm,susp_defl_rr_mm,susp_vel_fl,susp_vel_fr,susp_vel_rl,susp_vel_rr,roll_deg,pitch_deg,fz_total,understeer_deg,fc_util_fl,fc_util_fr,fc_util_rl,fc_util_rr,radius_m,yaw_rate_ref_dps
0.0000,accel,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1000.0000,3776.8500,3776.8500,3090.1500,3090.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13734.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1000,accel,0.0000,0.0000,0.0000,0.0189,0.0039,0.0000,0.0000,0.0667,0.0000,0.0000,1,1000.0000,3719.9820,3719.9820,3147.1162,3147.1162,0.0008,0.0008,0.0027,0.0027,0.0000,0.0000,0.0000,0.0000,-1.0390,-1.0390,112.8766,112.8766,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1182,-0.1182,0.1926,0.1926,-4.1920,-4.1920,5.1647,5.1647,0.0000,-0.0068,13734.1964,0.0000,0.0003,0.0003,0.0359,0.0359,0.0000,0.0000
0.2000,accel,0.0018,0.0000,0.0000,0.1124,0.0284,0.0000,0.0000,0.1333,0.0000,0.0000,1,1000.0000,3697.7663,3697.7663,3169.3248,3169.3248,0.0008,0.0008,0.0048,0.0048,0.0000,0.0000,0.0000,0.0000,-2.8283,-2.8283,243.5822,243.5822,0.0000,0.0000,0.0000,0.0000,0.0000,-0.6791,-0.6791,0.8528,0.8528,-6.5330,-6.5330,7.4459,7.4459,0.0000,-0.0338,13734.1822,0.0000,0.0008,0.0008,0.0769,0.0769,0.0000,0.0000
0.3000,accel,0.0072,0.0000,0.0000,0.2748,0.0707,0.0000,0.0000,0.2000,0.0000,0.0000,1,1000.0000,3684.7043,3684.7043,3182.2575,3182.2575,0.0007,0.0007,0.0087,0.0087,0.0000,0.0000,0.0000,0.0000,-4.3055,-4.3055,478.3486,478.3486,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3850,-1.3850,1.6275,1.6275,-5.2234,-5.2234,4.8724,4.8724,0.0000,-0.0664,13733.9236,0.0000,0.0012,0.0012,0.1503,0.1503,0.0000,0.0000
0.4000,accel,0.0179,0.0000,0.0000,0.5306,0.1312,0.0000,0.0000,0.2667,0.0000,0.0000,1,1000.0000,3278.2739,3278.2739,3591.1177,3591.1177,-0.0025,-0.0025,0.0258,0.0258,0.0000,0.0000,0.0000,0.0000,-204.1610,-204.1610,1565.0407,1565.0407,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0208,-1.0208,3.6962,3.6962,-123.9473,-123.9473,147.7287,147.7287,0.0000,-0.1039,13738.7832,0.0000,0.0623,0.0623,0.4358,0.4358,0.0000,0.0000
0.5000,accel,0.0353,0.0000,0.0000,0.6907,0.2317,0.0000,0.0000,0.3333,0.0000,0.0000,1,1000.0000,3259.0582,3259.0582,3608.4737,3608.4737,0.0055,0.0055,-0.2027,-0.2027,0.0000,0.0000,0.0000,0.0000,291.4023,291.4023,-3640.9909,-3640.9909,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8868,-1.8868,6.2707,6.2707,-123.2522,-123.2522,128.9264,128.9264,0.0000,-0.1798,13735.0638,0.0000,0.0894,0.0894,1.0090,1.0090,0.0000,0.0000
0.6000,accel,0.0628,0.0000,0.0000,1.2293,0.3008,0.0000,0.0000,0.4000,0.0000,0.0000,1,1000.0000,3809.2668,3809.2668,3055.4634,3055.4634,0.0843,0.0843,0.0010,0.0010,0.0000,0.0000,0.0000,0.0000,3408.3640,3408.3640,11.9693,11.9693,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3710,-1.3710,6.0324,6.0324,42.3724,42.3724,-64.2108,-64.2108,0.0000,-0.1631,13729.4604,0.0000,0.8948,0.8948,0.0039,0.0039,0.0000,0.0000
0.7000,accel,0.1006,0.0000,0.0000,1.6848,0.4535,0.0000,0.0000,0.4667,0.0000,0.0000,1,1000.0000,2579.2996,2579.2996,4293.6214,4293.6214,-0.6208,-0.6208,0.0824,0.0824,0.0000,0.0000,0.0000,0.0000,-2551.4480,-2551.4480,3770.5324,3770.5324,0.0000,0.0000,0.0000,0.0000,0.0000,-2.8279,-2.8279,9.6054,9.6054,-310.7466,-310.7466,369.6387,369.6387,0.0000,-0.2740,13745.8420,0.0000,0.9892,0.9892,0.8782,0.8782,0.0000,0.0000
0.8000,accel,0.1504,0.0000,0.0000,2.0935,0.5065,0.0000,0.0000,0.5333,0.0000,0.0000,1,1000.0000,4808.4747,4808.4747,2065.1683,2065.1683,0.0915,0.0915,0.7143,0.7143,0.0000,0.0000,0.0000,0.0000,4291.3421,4291.3421,2007.1624,2007.1624,0.0000,0.0000,0.0000,0.0000,0.0000,0.2320,0.2320,7.8182,7.8182,426.0258,426.0258,-359.9074,-359.9074,0.0000,-0.1672,13747.2859,0.0000,0.8925,0.8925,0.9719,0.9719,0.0000,0.0000
0.9000,accel,0.2145,0.0000,0.0000,2.5438,0.7042,0.0000,0.0000,0.6000,0.0000,0.0000,1,1000.0000,3597.1320,3597.1320,3264.0953,3264.0953,0.3006,0.3006,-0.1202,-0.1202,0.0000,0.0000,0.0000,0.0000,3475.1266,3475.1266,-3268.9154,-3268.9154,0.0000,0.0000,0.0000,0.0000,0.0000,-2.8679,-2.8679,10.4733,10.4733,-19.6519,-19.6519,-36.3221,-36.3221,0.0000,-0.2940,13722.4544,0.0000,0.9661,0.9661,1.0015,1.0015,0.0000,0.0000
1.0000,accel,0.2945,0.0000,0.0000,2.9927,0.9136,0.0000,0.0000,0.6667,0.0000,0.0000,1,1000.0000,2578.0598,2578.0598,4293.8857,4293.8857,-0.2711,-0.2711,-0.1459,-0.1459,0.0000,0.0000,0.0000,0.0000,-2665.4375,-2665.4375,-4245.1321,-4245.1321,0.0000,0.0000,0.0000,0.0000,0.0000,-5.8721,-5.8721,12.7132,12.7132,-289.3565,-289.3565,338.6660,338.6660,0.0000,-0.4096,13743.8910,0.0000,1.0339,1.0339,0.9886,0.9886,0.0000,0.0000
1.1000,accel,0.3929,0.0000,0.0000,3.8949,1.0819,0.0000,0.0000,0.7333,0.0000,0.0000,1,1000.0000,2919.2784,2919.2784,3948.0755,3948.0755,-0.1904,-0.1904,0.0568,0.0568,0.0000,0.0000,0.0000,0.0000,-3010.1150,-3010.1150,3009.1388,3009.1388,0.0000,0.0000,0.0000,0.0000,0.0000,-5.8483,-5.8483,13.1221,13.1221,-192.0357,-192.0357,196.2533,196.2533,0.0000,-0.4180,13734.7077,0.0000,1.0311,1.0311,0.7622,0.7622,0.0000,0.0000
