time,phase,pos_x,pos_y,yaw_deg,speed_kph,vx_body,vy_body,yaw_rate_dps,throttle,brake,steer_deg,gear,rpm,fz_fl,fz_fr,fz_rl,fz_rr,sr_fl,sr_fr,sr_rl,sr_rr,sa_fl_deg,sa_fr_deg,sa_rl_deg,sa_rr_deg,fx_fl,fx_fr,fx_rl,fx_rr,fy_fl,fy_fr,fy_rl,fy_rr,lat_accel_g,susp_defl_fl_mm,susp_defl_fr_mm,susp_defl_rl_mm,susp_defl_rr_mm,susp_vel_fl,susp_vel_fr,susp_vel_rl,susp_vel_rr,roll_deg,pitch_deg,fz_total,understeer_deg,fc_util_fl,fc_util_fr,fc_util_rl,fc_util_rr,radius_m,yaw_rate_ref_dps,ke_total_kj,energy_engine_kj,energy_drag_kj,energy_brake_kj,energy_tire_loss_kj,energy_body_kj,integrator_err_kj
0.0000,accel,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1000.0000,3776.8500,3776.8500,3090.1500,3090.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13734.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1000,accel,0.0000,0.0000,0.0000,0.0189,0.0039,0.0000,0.0000,0.0667,0.0000,0.0000,1,1000.0000,3719.9820,3719.9820,3147.1162,3147.1162,0.0008,0.0008,0.0027,0.0027,0.0000,0.0000,0.0000,0.0000,-1.0390,-1.0390,112.8766,112.8766,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1182,-0.1182,0.1926,0.1926,-4.1920,-4.1920,5.1647,5.1647,0.0000,-0.0068,13734.1964,0.0000,0.0003,0.0003,0.0359,0.0359,0.0000,0.0000,0.0002,0.0011,0.0000,0.0000,0.0011,0.0000,-0.0002
0.2000,accel,0.0018,0.0000,0.0000,0.1124,0.0284,0.0000,0.0000,0.1333,0.0000,0.0000,1,1000.0000,3697.7664,3697.7664,3169.3250,3169.3250,0.0008,0.0008,0.0048,0.0048,0.0000,0.0000,0.0000,0.0000,-2.8283,-2.8283,243.5822,243.5822,0.0000,0.0000,0.0000,0.0000,0.0000,-0.6791,-0.6791,0.8528,0.8528,-6.5330,-6.5330,7.4459,7.4459,0.0000,-0.0338,13734.1827,0.0000,0.0008,0.0008,0.0769,0.0769,0.0000,0.0000,0.0011,0.0064,0.0000,0.0000,0.0058,0.0006,-0.0004
0.3000,accel,0.0072,0.0000,0.0000,0.2748,0.0707,0.0000,0.0000,0.2000,0.0000,0.0000,1,1000.0000,3684.7050,3684.7050,3182.2586,3182.2586,0.0007,0.0007,0.0087,0.0087,0.0000,0.0000,0.0000,0.0000,-4.3055,-4.3055,478.3488,478.3488,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3850,-1.3850,1.6275,1.6275,-5.2234,-5.2234,4.8724,4.8724,0.0000,-0.0664,13733.9272,0.0000,0.0012,0.0012,0.1503,0.1503,0.0000,0.0000,0.0046,0.0183,0.0000,0.0000,0.0143,0.0039,-0.0007
0.4000,accel,0.0179,0.0000,0.0000,0.5306,0.1312,0.0000,0.0000,0.2667,0.0000,0.0000,1,1000.0000,3278.2761,3278.2761,3591.1218,3591.1218,-0.0025,-0.0025,0.0258,0.0258,0.0000,0.0000,0.0000,0.0000,-204.1619,-204.1619,1565.0154,1565.0154,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0208,-1.0208,3.6962,3.6962,-123.9474,-123.9474,147.7288,147.7288,0.0000,-0.1039,13738.7959,0.0000,0.0623,0.0623,0.4358,0.4358,0.0000,0.0000,0.0165,0.0454,0.0000,0.0000,0.0361,0.0092,-0.0072
0.5000,accel,0.0353,0.0000,0.0000,0.6907,0.2317,0.0000,0.0000,0.3333,0.0000,0.0000,1,1000.0000,3259.7101,3259.7101,3607.8348,3607.8348,0.0055,0.0055,-0.2021,-0.2021,0.0000,0.0000,0.0000,0.0000,291.3032,291.3032,-3640.5908,-3640.5908,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8860,-1.8860,6.2691,6.2691,-123.0736,-123.0736,128.6819,128.6819,0.0000,-0.1797,13735.0899,0.0000,0.0894,0.0894,1.0091,1.0091,0.0000,0.0000,0.0695,0.1146,0.0000,0.0000,0.1042,0.0104,-0.0591
0.6000,accel,0.0628,0.0000,0.0000,1.2335,0.3002,0.0000,0.0000,0.4000,0.0000,0.0000,1,1000.0000,3814.8542,3814.8542,3049.9724,3049.9724,0.0868,0.0868,0.0029,0.0029,0.0000,0.0000,0.0000,0.0000,3440.0916,3440.0916,126.8243,126.8243,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3533,-1.3533,6.0123,6.0123,44.4253,44.4253,-65.6416,-65.6416,0.0000,-0.1623,13729.6533,0.0000,0.9018,0.9018,0.0416,0.0416,0.0000,0.0000,0.1131,0.1925,0.0000,0.0000,0.1358,0.0567,-0.0563
0.7000,accel,0.1008,0.0000,0.0000,1.6591,0.3820,0.0000,0.0000,0.4667,0.0000,0.0000,1,1000.0000,4628.8789,4628.8789,2243.6168,2243.6168,0.2289,0.2289,0.4910,0.4910,0.0000,0.0000,0.0000,0.0000,4405.7905,4405.7905,2214.7606,2214.7606,0.0000,0.0000,0.0000,0.0000,0.0000,0.2391,0.2391,6.5568,6.5568,354.1078,354.1078,-299.9216,-299.9216,0.0000,-0.1392,13744.9914,0.0000,0.9518,0.9518,0.9871,0.9871,0.0000,0.0000,0.1905,0.3026,0.0000,0.0000,0.2034,0.0992,-0.0912
0.8000,accel,0.1512,0.0000,0.0000,2.0077,0.5077,0.0000,0.0000,0.5333,0.0000,0.0000,1,1032.4337,4882.9960,4882.9960,1992.1089,1992.1089,0.0287,0.0287,0.7408,0.7408,0.0000,0.0000,0.0000,0.0000,2260.7842,2260.7842,1938.2991,1938.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0218,0.0218,7.4849,7.4849,457.9208,457.9208,-378.4173,-378.4173,0.0000,-0.1645,13750.2099,0.0000,0.4630,0.4630,0.9730,0.9730,0.0000,0.0000,0.3020,0.4878,0.0000,0.0000,0.3403,0.1475,-0.1545
0.9000,accel,0.2149,0.0000,0.0000,2.4543,0.6893,0.0000,0.0000,0.6000,0.0000,0.0000,1,1000.0000,3662.1947,3662.1947,3199.2834,3199.2834,-0.1264,-0.1264,0.6052,0.6052,0.0000,0.0000,0.0000,0.0000,-3643.9501,-3643.9501,3007.3004,3007.3004,0.0000,0.0000,0.0000,0.0000,0.0000,-2.4066,-2.4066,9.9115,9.9115,-4.3773,-4.3773,-50.8568,-50.8568,0.0000,-0.2715,13722.9563,0.0000,0.9950,0.9950,0.9400,0.9400,0.0000,0.0000,0.4126,0.8270,0.0000,0.0000,0.5948,0.2322,-0.1803
