time,phase,pos_x,pos_y,yaw_deg,speed_kph,vx_body,vy_body,yaw_rate_dps,throttle,brake,steer_deg,gear,rpm,fz_fl,fz_fr,fz_rl,fz_rr,sr_fl,sr_fr,sr_rl,sr_rr,sa_fl_deg,sa_fr_deg,sa_rl_deg,sa_rr_deg,fx_fl,fx_fr,fx_rl,fx_rr,fy_fl,fy_fr,fy_rl,fy_rr,lat_accel_g,susp_defl_fl_mm,susp_defl_fr_mm,susp_defl_rl_mm,susp_defl_rr_mm,susp_vel_fl,susp_vel_fr,susp_vel_rl,susp_vel_rr,roll_deg,pitch_deg,fz_total,understeer_deg,fc_util_fl,fc_util_fr,fc_util_rl,fc_util_rr,radius_m,yaw_rate_ref_dps,ke_total_kj,energy_engine_kj,energy_drag_kj,energy_brake_kj,energy_tire_loss_kj,energy_body_kj,integrator_err_kj
0.0000,accel,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1000.0000,3776.8500,3776.8500,3090.1500,3090.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13734.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1000,accel,-0.0000,0.0000,0.0000,0.0121,0.0024,0.0000,0.0000,0.0500,0.0000,0.0000,1,1000.0000,3724.4543,3724.4543,3142.6177,3142.6177,0.0008,0.0008,0.0022,0.0022,0.0000,0.0000,0.0000,0.0000,-0.7653,-0.7653,84.2013,84.2013,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0739,-0.0739,0.1346,0.1346,-3.2309,-3.2309,3.9452,3.9452,0.0000,-0.0046,13734.1441,0.0000,0.0002,0.0002,0.0268,0.0268,0.0000,0.0000,0.0002,0.0008,0.0000,0.0000,0.0008,0.0000,-0.0002
0.2000,accel,0.0012,0.0000,0.0000,0.0820,0.0206,0.0000,0.0000,0.1000,0.0000,0.0000,1,1000.0000,3707.7630,3707.7630,3159.3041,3159.3041,0.0008,0.0008,0.0038,0.0038,0.0000,0.0000,0.0000,0.0000,-2.0074,-2.0074,182.2539,182.2539,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5009,-0.5009,0.6345,0.6345,-4.9501,-4.9501,5.6210,5.6210,0.0000,-0.0250,13734.1340,0.0000,0.0005,0.0005,0.0577,0.0577,0.0000,0.0000,0.0007,0.0042,0.0000,0.0000,0.0039,0.0003,-0.0003
0.3000,accel,0.0052,0.0000,0.0000,0.2014,0.0526,0.0000,0.0000,0.1500,0.0000,0.0000,1,1000.0000,3691.4035,3691.4035,3175.6398,3175.6398,0.0007,0.0007,0.0054,0.0054,0.0000,0.0000,0.0000,0.0000,-3.7866,-3.7866,279.6112,279.6112,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0441,-1.0441,1.2321,1.2321,-5.7442,-5.7442,6.1788,6.1788,0.0000,-0.0502,13734.0866,0.0000,0.0010,0.0010,0.0880,0.0880,0.0000,0.0000,0.0027,0.0120,0.0000,0.0000,0.0099,0.0021,-0.0006
0.4000,accel,0.0132,0.0000,0.0000,0.3753,0.0976,0.0000,0.0000,0.2000,0.0000,0.0000,1,1000.0000,3689.9006,3689.9006,3176.9640,3176.9640,0.0007,0.0007,0.0102,0.0102,0.0000,0.0000,0.0000,0.0000,-3.3669,-3.3669,563.4171,563.4171,0.0000,0.0000,0.0000,0.0000,0.0000,-1.6182,-1.6182,1.8299,1.8299,-2.0734,-2.0734,0.7295,0.7295,0.0000,-0.0760,13733.7292,0.0000,0.0009,0.0009,0.1773,0.1773,0.0000,0.0000,0.0081,0.0256,0.0000,0.0000,0.0182,0.0074,-0.0007
0.5000,accel,0.0266,0.0000,0.0000,0.6375,0.1525,0.0000,0.0000,0.2500,0.0000,0.0000,1,1000.0000,3796.9017,3796.9017,3069.5261,3069.5261,0.0049,0.0049,0.0355,0.0355,0.0000,0.0000,0.0000,0.0000,294.9882,294.9882,1772.5050,1772.5050,0.0000,0.0000,0.0000,0.0000,0.0000,-1.1625,-1.1625,3.3215,3.3215,35.3403,35.3403,-40.8305,-40.8305,0.0000,-0.0988,13732.8554,0.0000,0.0777,0.0777,0.5775,0.5775,0.0000,0.0000,0.0234,0.0521,0.0000,0.0000,0.0347,0.0174,-0.0059
0.6000,accel,0.0470,0.0000,0.0000,0.9689,0.1902,0.0000,0.0000,0.3000,0.0000,0.0000,1,1000.0000,4590.0917,4590.0917,2281.9948,2281.9948,0.2603,0.2603,0.3816,0.3816,0.0000,0.0000,0.0000,0.0000,4353.0375,4353.0375,2281.1265,2281.1265,0.0000,0.0000,0.0000,0.0000,0.0000,1.6783,1.6783,4.4244,4.4244,324.2072,324.2072,-273.7177,-273.7177,0.0000,-0.0605,13744.1729,0.0000,0.9484,0.9484,0.9996,0.9996,0.0000,0.0000,0.0822,0.1169,0.0000,0.0000,0.0975,0.0194,-0.0628
0.7000,accel,0.0758,0.0000,0.0000,1.1440,0.3529,0.0000,0.0000,0.3500,0.0000,0.0000,1,1000.0000,2702.2277,2702.2277,4168.2253,4168.2253,-0.5600,-0.5600,-0.0027,-0.0027,0.0000,0.0000,0.0000,0.0000,-2677.8005,-2677.8005,-272.9461,-272.9461,0.0000,0.0000,0.0000,0.0000,0.0000,-0.8300,-0.8300,9.1287,9.1287,-289.9001,-289.9001,324.2365,324.2365,0.0000,-0.2195,13740.9060,0.0000,0.9910,0.9910,0.0655,0.0655,0.0000,0.0000,0.0822,0.1997,0.0000,0.0000,0.1863,0.0133,-0.0688
0.8000,accel,0.1142,0.0000,0.0000,1.6264,0.4049,0.0000,0.0000,0.4000,0.0000,0.0000,1,1000.0000,3852.1476,3852.1476,3012.6633,3012.6633,0.1465,0.1465,0.0042,0.0042,0.0000,0.0000,0.0000,0.0000,3734.4133,3734.4133,200.2196,200.2196,0.0000,0.0000,0.0000,0.0000,0.0000,-1.1605,-1.1605,6.3882,6.3882,57.4107,57.4107,-78.9909,-78.9909,0.0000,-0.1664,13729.6218,0.0000,0.9694,0.9694,0.0665,0.0665,0.0000,0.0000,0.1725,0.2874,0.0000,0.0000,0.2060,0.0814,-0.0910
0.9000,accel,0.1622,0.0000,0.0000,1.9644,0.4965,0.0000,0.0000,0.4500,0.0000,0.0000,1,1000.0000,4376.8767,4376.8767,2492.6062,2492.6062,0.0236,0.0236,0.6031,0.6031,0.0000,0.0000,0.0000,0.0000,1728.3813,1728.3813,2403.7331,2403.7331,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1640,-0.1640,7.1611,7.1611,257.3321,257.3321,-233.1045,-233.1045,0.0000,-0.1614,13738.9658,0.0000,0.3949,0.3949,0.9643,0.9643,0.0000,0.0000,0.2304,0.4613,0.0000,0.0000,0.3360,0.1253,-0.1051
