time,phase,pos_x,pos_y,yaw_deg,speed_kph,vx_body,vy_body,yaw_rate_dps,throttle,brake,steer_deg,gear,rpm,fz_fl,fz_fr,fz_rl,fz_rr,sr_fl,sr_fr,sr_rl,sr_rr,sa_fl_deg,sa_fr_deg,sa_rl_deg,sa_rr_deg,fx_fl,fx_fr,fx_rl,fx_rr,fy_fl,fy_fr,fy_rl,fy_rr,lat_accel_g,susp_defl_fl_mm,susp_defl_fr_mm,susp_defl_rl_mm,susp_defl_rr_mm,susp_vel_fl,susp_vel_fr,susp_vel_rl,susp_vel_rr,roll_deg,pitch_deg,fz_total,understeer_deg,fc_util_fl,fc_util_fr,fc_util_rl,fc_util_rr,radius_m,yaw_rate_ref_dps
0.0000,accel,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1000.0000,3776.8500,3776.8500,3090.1500,3090.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13734.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1000,accel,-0.0000,0.0000,0.0000,0.0120,0.0024,0.0000,0.0000,0.0500,0.0000,0.0000,1,1000.0000,3724.4579,3724.4579,3142.6141,3142.6141,0.0008,0.0008,0.0022,0.0022,0.0000,0.0000,0.0000,0.0000,-0.7672,-0.7672,84.1828,84.1828,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0738,-0.0738,0.1345,0.1345,-3.2305,-3.2305,3.9449,3.9449,0.0000,-0.0046,13734.1441,0.0000,0.0002,0.0002,0.0268,0.0268,0.0000,0.0000
0.2000,accel,0.0012,0.0000,0.0000,0.0820,0.0206,0.0000,0.0000,0.1000,0.0000,0.0000,1,1000.0000,3707.7652,3707.7652,3159.3017,3159.3017,0.0008,0.0008,0.0038,0.0038,0.0000,0.0000,0.0000,0.0000,-2.0104,-2.0104,182.2435,182.2435,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5008,-0.5008,0.6343,0.6343,-4.9502,-4.9502,5.6212,5.6212,0.0000,-0.0250,13734.1338,0.0000,0.0005,0.0005,0.0577,0.0577,0.0000,0.0000
0.3000,accel,0.0052,0.0000,0.0000,0.2013,0.0526,0.0000,0.0000,0.1500,0.0000,0.0000,1,1000.0000,3691.4021,3691.4021,3175.6402,3175.6402,0.0007,0.0007,0.0054,0.0054,0.0000,0.0000,0.0000,0.0000,-3.7921,-3.7921,279.5785,279.5785,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0440,-1.0440,1.2320,1.2320,-5.7451,-5.7451,6.1801,6.1801,0.0000,-0.0502,13734.0846,0.0000,0.0010,0.0010,0.0880,0.0880,0.0000,0.0000
0.4000,accel,0.0132,0.0000,0.0000,0.3725,0.0979,0.0000,0.0000,0.2000,0.0000,0.0000,1,1000.0000,3683.0486,3683.0486,3183.8880,3183.8880,0.0007,0.0007,0.0087,0.0087,0.0000,0.0000,0.0000,0.0000,-4.5816,-4.5816,472.9537,472.9537,0.0000,0.0000,0.0000,0.0000,0.0000,-1.6284,-1.6284,1.8443,1.8443,-3.9573,-3.9573,3.3561,3.3561,0.0000,-0.0765,13733.8732,0.0000,0.0012,0.0012,0.1485,0.1485,0.0000,0.0000
0.5000,accel,0.0265,0.0000,0.0000,0.5907,0.1583,0.0000,0.0000,0.2500,0.0000,0.0000,1,1000.0000,3298.7533,3298.7533,3570.2102,3570.2102,-0.0022,-0.0022,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,-187.7943,-187.7943,675.1494,675.1494,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0461,-1.0461,3.8823,3.8823,-117.9156,-117.9156,137.5046,137.5046,0.0000,-0.1086,13737.9269,0.0000,0.0569,0.0569,0.1891,0.1891,0.0000,0.0000
0.6000,accel,0.0464,0.0000,0.0000,0.8891,0.2028,0.0000,0.0000,0.3000,0.0000,0.0000,1,1000.0000,3967.2718,3967.2718,2899.6423,2899.6423,0.5461,0.5461,0.0005,0.0005,0.0000,0.0000,0.0000,0.0000,3726.5853,3726.5853,-18.2352,-18.2352,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1229,-0.1229,3.9076,3.9076,93.0933,93.0933,-93.5533,-93.5533,0.0000,-0.0888,13733.8282,0.0000,0.9393,0.9393,0.0063,0.0063,0.0000,0.0000
0.7000,accel,0.0751,0.0000,0.0000,1.2544,0.2947,0.0000,0.0000,0.3500,0.0000,0.0000,1,1000.0000,3912.1563,3912.1563,2954.9606,2954.9606,0.3325,0.3325,0.0142,0.0142,0.0000,0.0000,0.0000,0.0000,3778.8479,3778.8479,732.8855,732.8855,0.0000,0.0000,0.0000,0.0000,0.0000,-1.2776,-1.2776,4.3811,4.3811,82.5944,82.5944,-81.1304,-81.1304,0.0000,-0.1247,13734.2337,0.0000,0.9659,0.9659,0.2480,0.2480,0.0000,0.0000
0.8000,accel,0.1128,0.0000,0.0000,1.3908,0.4519,0.0000,0.0000,0.4000,0.0000,0.0000,1,1000.0000,3439.1488,3439.1488,3423.5853,3423.5853,-0.0366,-0.0366,-0.3565,-0.3565,0.0000,0.0000,0.0000,0.0000,-2111.8267,-2111.8267,-3397.8502,-3397.8502,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3186,-2.3186,9.0218,9.0218,-68.7130,-68.7130,27.4601,27.4601,0.0000,-0.2499,13725.4682,0.0000,0.6141,0.6141,0.9925,0.9925,0.0000,0.0000
0.9000,accel,0.1620,0.0000,0.0000,1.8973,0.5554,0.0000,0.0000,0.4500,0.0000,0.0000,1,1000.0000,3458.4757,3458.4757,3402.5095,3402.5095,0.0169,0.0169,-0.2989,-0.2989,0.0000,0.0000,0.0000,0.0000,1017.5529,1017.5529,-3402.5095,-3402.5095,0.0000,0.0000,0.0000,0.0000,0.0000,-1.6247,-1.6247,9.9381,9.9381,-68.1476,-68.1476,9.8666,9.8666,0.0000,-0.2548,13721.9704,0.0000,0.2942,0.2942,1.0000,1.0000,0.0000,0.0000
